,model,seed,b,pion,metric,value
100,learn_1,61453,1.7,-211,v2,0.004068017499607015
101,learn_1,61453,1.7,-211,v3,0.002103504329942693
102,learn_1,61453,1.7,-211,pt,6.405
103,learn_1,61453,1.7,-211,e,5.3675
104,learn_1,61453,1.7,111,e_kl,0.023187191511789235
105,learn_1,61453,1.7,111,e_w1,0.04493809125607922
106,learn_1,61453,1.7,111,eta_kl,0.002992047884825211
107,learn_1,61453,1.7,111,eta_w1,0.025938454843010165
108,learn_1,61453,1.7,111,e_kl_0,0.06632557082638976
109,learn_1,61453,1.7,111,e_w1_0,0.09373896151781083
110,learn_1,61453,1.7,111,eta_kl_0,0.016291060710344574
111,learn_1,61453,1.7,111,eta_w1_0,0.127206808907722
112,learn_1,61453,1.7,111,v1,0.016266543244473033
113,learn_1,61453,1.7,111,v2,0.05621402096108431
114,learn_1,61453,1.7,111,v3,0.04412575071689997
115,learn_1,61453,1.7,111,pt,6.405
116,learn_1,61453,1.7,111,e,5.3675
117,learn_1,61453,5.0,211,e_kl,0.007356094297949447
118,learn_1,61453,5.0,211,e_w1,0.02012682646954131
119,learn_1,61453,5.0,211,eta_kl,0.0032194553703606657
120,learn_1,61453,5.0,211,eta_w1,0.051408684002429095
121,learn_1,61453,5.0,211,e_kl_0,0.014856816938485425
122,learn_1,61453,5.0,211,e_w1_0,0.05950493484735489
123,learn_1,61453,5.0,211,eta_kl_0,0.01704384162345602
124,learn_1,61453,5.0,211,eta_w1_0,0.16100450857542456
125,learn_1,61453,5.0,211,v1,0.014947911877271673
126,learn_1,61453,5.0,211,v2,0.008997980332541143
127,learn_1,61453,5.0,211,v3,0.025868225970356703
128,learn_1,61453,5.0,211,pt,5.7275
129,learn_1,61453,5.0,211,e,4.1825
130,learn_1,61453,5.0,-211,e_kl,0.0210508528899907
131,learn_1,61453,5.0,-211,e_w1,0.027801342301438214
132,learn_1,61453,5.0,-211,eta_kl,0.005607384081966124
133,learn_1,61453,5.0,-211,eta_w1,0.037049169474906433
134,learn_1,61453,5.0,-211,e_kl_0,0.02136533811216685
135,learn_1,61453,5.0,-211,e_w1_0,0.025535405576229093
136,learn_1,61453,5.0,-211,eta_kl_0,0.02140933820685624
137,learn_1,61453,5.0,-211,eta_w1_0,0.14202752040757333
138,learn_1,61453,5.0,-211,v1,0.018535904063836647
139,learn_1,61453,5.0,-211,v2,0.0014268880804354205
140,learn_1,61453,5.0,-211,v3,0.009439927892353409
141,learn_1,61453,5.0,-211,pt,5.7275
142,learn_1,61453,5.0,-211,e,4.1825
143,learn_1,61453,5.0,111,e_kl,0.025363458740920993
144,learn_1,61453,5.0,111,e_w1,0.030849620007488764
145,learn_1,61453,5.0,111,eta_kl,0.0035197373858876714
146,learn_1,61453,5.0,111,eta_w1,0.03497235969880724
147,learn_1,61453,5.0,111,e_kl_0,0.08644480647256125
148,learn_1,61453,5.0,111,e_w1_0,0.08444087833166122
149,learn_1,61453,5.0,111,eta_kl_0,0.014873597265382014
150,learn_1,61453,5.0,111,eta_w1_0,0.12251439803047105
151,learn_1,61453,5.0,111,v1,0.0455563583765216
152,learn_1,61453,5.0,111,v2,0.03418327254459544
153,learn_1,61453,5.0,111,v3,0.006524470628589798
154,learn_1,61453,5.0,111,pt,5.7275
155,learn_1,61453,5.0,111,e,4.1825
156,learn_2,61453,1.7,211,e_kl,0.03398455171888264
157,learn_2,61453,1.7,211,e_w1,0.047139844646056486
158,learn_2,61453,1.7,211,eta_kl,0.0028702201468944993
159,learn_2,61453,1.7,211,eta_w1,0.02812408325091903
160,learn_2,61453,1.7,211,e_kl_0,0.0756813255342382
161,learn_2,61453,1.7,211,e_w1_0,0.09997777163982392
162,learn_2,61453,1.7,211,eta_kl_0,0.07331877855669458
163,learn_2,61453,1.7,211,eta_w1_0,0.27024405773641774
164,learn_2,61453,1.7,211,v1,0.014383339413807806
165,learn_2,61453,1.7,211,v2,0.023557485018087517
166,learn_2,61453,1.7,211,v3,0.02043450982347563
167,learn_2,61453,1.7,211,pt,9.445
168,learn_2,61453,1.7,211,e,8.705
169,learn_2,61453,1.7,-211,e_kl,0.047946940180959824
170,learn_2,61453,1.7,-211,e_w1,0.050054575875401526
171,learn_2,61453,1.7,-211,eta_kl,0.004040430403822869
172,learn_2,61453,1.7,-211,eta_w1,0.014524466889235506
173,learn_2,61453,1.7,-211,e_kl_0,0.1437814368325487
174,learn_2,61453,1.7,-211,e_w1_0,0.07853394746780396
175,learn_2,61453,1.7,-211,eta_kl_0,0.005350835485978372
176,learn_2,61453,1.7,-211,eta_w1_0,0.13233778319205158
177,learn_2,61453,1.7,-211,v1,0.008041423237905
178,learn_2,61453,1.7,-211,v2,0.024090433465536326
179,learn_2,61453,1.7,-211,v3,0.008142822780200263
180,learn_2,61453,1.7,-211,pt,9.445
181,learn_2,61453,1.7,-211,e,8.705
182,learn_2,61453,1.7,111,e_kl,0.054745261842370406
183,learn_2,61453,1.7,111,e_w1,0.062405198890538444
184,learn_2,61453,1.7,111,eta_kl,0.001978558141060943
185,learn_2,61453,1.7,111,eta_w1,0.04502644874734653
186,learn_2,61453,1.7,111,e_kl_0,0.10638512548948705
187,learn_2,61453,1.7,111,e_w1_0,0.11689486712217333
188,learn_2,61453,1.7,111,eta_kl_0,0.015297313508555172
189,learn_2,61453,1.7,111,eta_w1_0,0.11458996625231521
190,learn_2,61453,1.7,111,v1,0.020104604636640887
191,learn_2,61453,1.7,111,v2,0.020266285437761374
192,learn_2,61453,1.7,111,v3,0.012749777336585671
193,learn_2,61453,1.7,111,pt,9.445
194,learn_2,61453,1.7,111,e,8.705
195,learn_2,61453,5.0,211,e_kl,0.040487464559359976
196,learn_2,61453,5.0,211,e_w1,0.046232607529064634
197,learn_2,61453,5.0,211,eta_kl,0.002767967934706082
198,learn_2,61453,5.0,211,eta_w1,0.03451099228831004
199,learn_2,61453,5.0,211,e_kl_0,0.08424362032281375
200,learn_2,61453,5.0,211,e_w1_0,0.09906434521079063
201,learn_2,61453,5.0,211,eta_kl_0,0.006117073011055086
202,learn_2,61453,5.0,211,eta_w1_0,0.09353462585248053
203,learn_2,61453,5.0,211,v1,0.007601767786662335
204,learn_2,61453,5.0,211,v2,0.004078702590359742
205,learn_2,61453,5.0,211,v3,0.010387929293718371
206,learn_2,61453,5.0,211,pt,9.05
207,learn_2,61453,5.0,211,e,7.8175
208,learn_2,61453,5.0,-211,e_kl,0.04187041319154204
209,learn_2,61453,5.0,-211,e_w1,0.04386872191665615
210,learn_2,61453,5.0,-211,eta_kl,0.003390275648940199
211,learn_2,61453,5.0,-211,eta_w1,0.024955395066345712
212,learn_2,61453,5.0,-211,e_kl_0,0.039461124487841635
