,model,seed,b,pion,metric,value
75,Pion_Gan_Generator,61453,5.0,111,v3,0.004254088770512372
76,Pion_Gan_Generator,61453,5.0,111,pt,8.925
77,Pion_Gan_Generator,61453,5.0,111,e,7.352499999999999
78,EPiC_generator,61453,1.7,211,e_kl,0.001265689652859595
79,EPiC_generator,61453,1.7,211,e_w1,0.0037486662506937217
80,EPiC_generator,61453,1.7,211,eta_kl,0.02177170541546905
81,EPiC_generator,61453,1.7,211,eta_w1,0.21337991453039415
82,EPiC_generator,61453,1.7,211,e_kl_0,0.007287153609626968
83,EPiC_generator,61453,1.7,211,e_w1_0,0.02960189402103424
84,EPiC_generator,61453,1.7,211,eta_kl_0,0.037334833844127745
85,EPiC_generator,61453,1.7,211,eta_w1_0,0.2107124890596606
86,EPiC_generator,61453,1.7,211,v1,0.009943366979634993
87,EPiC_generator,61453,1.7,211,v2,0.003580313024173917
88,EPiC_generator,61453,1.7,211,v3,0.016478472933450398
89,EPiC_generator,61453,1.7,211,pt,2.6625
90,EPiC_generator,61453,1.7,211,e,1.16
91,EPiC_generator,61453,1.7,-211,e_kl,0.006622148726216021
92,EPiC_generator,61453,1.7,-211,e_w1,0.006127893842923559
93,EPiC_generator,61453,1.7,-211,eta_kl,0.021865819876998857
94,EPiC_generator,61453,1.7,-211,eta_w1,0.20966030022135837
95,EPiC_generator,61453,1.7,-211,e_kl_0,0.043223110706639416
96,EPiC_generator,61453,1.7,-211,e_w1_0,0.027153097093105316
97,EPiC_generator,61453,1.7,-211,eta_kl_0,0.024174307764959206
98,EPiC_generator,61453,1.7,-211,eta_w1_0,0.23324365701293576
99,EPiC_generator,61453,1.7,-211,v1,0.013693166122872705
100,EPiC_generator,61453,1.7,-211,v2,0.015678271629385208
101,EPiC_generator,61453,1.7,-211,v3,0.003909055757882931
102,EPiC_generator,61453,1.7,-211,pt,2.6625
103,EPiC_generator,61453,1.7,-211,e,1.16
104,EPiC_generator,61453,1.7,111,e_kl,0.006935845491692423
105,EPiC_generator,61453,1.7,111,e_w1,0.013617417153189374
106,EPiC_generator,61453,1.7,111,eta_kl,0.02163429028252894
107,EPiC_generator,61453,1.7,111,eta_w1,0.18600611806289213
108,EPiC_generator,61453,1.7,111,e_kl_0,0.0382109573387455
109,EPiC_generator,61453,1.7,111,e_w1_0,0.04909952133893967
110,EPiC_generator,61453,1.7,111,eta_kl_0,0.04218254493496858
111,EPiC_generator,61453,1.7,111,eta_w1_0,0.27269792196872006
112,EPiC_generator,61453,1.7,111,v1,0.004848622370495027
113,EPiC_generator,61453,1.7,111,v2,0.013779252676185785
114,EPiC_generator,61453,1.7,111,v3,0.00489623069027494
115,EPiC_generator,61453,1.7,111,pt,2.6625
116,EPiC_generator,61453,1.7,111,e,1.16
117,EPiC_generator,61453,5.0,211,e_kl,0.01980520437435833
118,EPiC_generator,61453,5.0,211,e_w1,0.02695486699687445
119,EPiC_generator,61453,5.0,211,eta_kl,0.021871849114670154
120,EPiC_generator,61453,5.0,211,eta_w1,0.21038409624034116
121,EPiC_generator,61453,5.0,211,e_kl_0,0.04387295487196692
122,EPiC_generator,61453,5.0,211,e_w1_0,0.08246676594018935
123,EPiC_generator,61453,5.0,211,eta_kl_0,0.010198201442205429
124,EPiC_generator,61453,5.0,211,eta_w1_0,0.18633386491797863
125,EPiC_generator,61453,5.0,211,v1,0.007251132929940365
126,EPiC_generator,61453,5.0,211,v2,0.0009039256049254192
127,EPiC_generator,61453,5.0,211,v3,0.041226179521426085
128,EPiC_generator,61453,5.0,211,pt,5.534999999999999
129,EPiC_generator,61453,5.0,211,e,4.574999999999999
130,EPiC_generator,61453,5.0,-211,e_kl,0.013166129260381383
131,EPiC_generator,61453,5.0,-211,e_w1,0.027794995133107833
132,EPiC_generator,61453,5.0,-211,eta_kl,0.019813382484071503
133,EPiC_generator,61453,5.0,-211,eta_w1,0.1872801850014984
134,EPiC_generator,61453,5.0,-211,e_kl_0,0.07801488564087286
135,EPiC_generator,61453,5.0,-211,e_w1_0,0.09867149114608766
136,EPiC_generator,61453,5.0,-211,eta_kl_0,0.008990508437432525
137,EPiC_generator,61453,5.0,-211,eta_w1_0,0.06453844293719159
138,EPiC_generator,61453,5.0,-211,v1,0.026028644022483567
139,EPiC_generator,61453,5.0,-211,v2,0.03608824427168797
140,EPiC_generator,61453,5.0,-211,v3,0.006859008008587266
141,EPiC_generator,61453,5.0,-211,pt,5.534999999999999
142,EPiC_generator,61453,5.0,-211,e,4.574999999999999
143,EPiC_generator,61453,5.0,111,e_kl,0.01397156354606215
144,EPiC_generator,61453,5.0,111,e_w1,0.0227691149577201
145,EPiC_generator,61453,5.0,111,eta_kl,0.013588174252837867
146,EPiC_generator,61453,5.0,111,eta_w1,0.15118993485774837
147,EPiC_generator,61453,5.0,111,e_kl_0,0.0231381551164271
148,EPiC_generator,61453,5.0,111,e_w1_0,0.037415129840374
149,EPiC_generator,61453,5.0,111,eta_kl_0,0.03156824437023011
150,EPiC_generator,61453,5.0,111,eta_w1_0,0.19484270944725723
151,EPiC_generator,61453,5.0,111,v1,0.009000525076669931
152,EPiC_generator,61453,5.0,111,v2,0.00664441155826774
153,EPiC_generator,61453,5.0,111,v3,0.01734483028692066
154,EPiC_generator,61453,5.0,111,pt,5.534999999999999
155,EPiC_generator,61453,5.0,111,e,4.574999999999999
156,GAPT_G,61453,1.7,211,e_kl,0.340299807478657
157,GAPT_G,61453,1.7,211,e_w1,0.08350252590363934
158,GAPT_G,61453,1.7,211,eta_kl,0.09634739605269675
159,GAPT_G,61453,1.7,211,eta_w1,0.4353888801703059
160,GAPT_G,61453,1.7,211,e_kl_0,6.504225334608825
161,GAPT_G,61453,1.7,211,e_w1_0,0.16442112505435946
162,GAPT_G,61453,1.7,211,eta_kl_0,3.94412054773029
163,GAPT_G,61453,1.7,211,eta_w1_0,1.2964782589930108
164,GAPT_G,61453,1.7,211,v1,0.13973680774048575
165,GAPT_G,61453,1.7,211,v2,0.06667476524968893
166,GAPT_G,61453,1.7,211,v3,0.38145291378666135
167,GAPT_G,61453,1.7,211,pt,20.950000000000003
168,GAPT_G,61453,1.7,211,e,4.0225
169,GAPT_G,61453,1.7,-211,e_kl,0.3421573237238481
170,GAPT_G,61453,1.7,-211,e_w1,0.07909852327335451
171,GAPT_G,61453,1.7,-211,eta_kl,0.11383687855658932
172,GAPT_G,61453,1.7,-211,eta_w1,0.4833313904025377
173,GAPT_G,61453,1.7,-211,e_kl_0,7.17923838158882
174,GAPT_G,61453,1.7,-211,e_w1_0,0.16869794696569446
175,GAPT_G,61453,1.7,-211,eta_kl_0,6.437462564665044
176,GAPT_G,61453,1.7,-211,eta_w1_0,1.3207443163567223
177,GAPT_G,61453,1.7,-211,v1,0.012209605217346884
178,GAPT_G,61453,1.7,-211,v2,0.14753063131128064
179,GAPT_G,61453,1.7,-211,v3,0.20321864157823596
180,GAPT_G,61453,1.7,-211,pt,20.950000000000003
181,GAPT_G,61453,1.7,-211,e,4.0225
182,GAPT_G,61453,1.7,111,e_kl,0.40789301606643324
183,GAPT_G,61453,1.7,111,e_w1,0.08319892538090548
184,GAPT_G,61453,1.7,111,eta_kl,0.10666074566296753
185,GAPT_G,61453,1.7,111,eta_w1,0.47219940948014405
186,GAPT_G,61453,1.7,111,e_kl_0,8.77580064600597
187,GAPT_G,61453,1.7,111,e_w1_0,0.17982498586177825
188,GAPT_G,61453,1.7,111,eta_kl_0,5.9908487004529825
189,GAPT_G,61453,1.7,111,eta_w1_0,1.3384284002932691
190,GAPT_G,61453,1.7,111,v1,0.02031645573546021
191,GAPT_G,61453,1.7,111,v2,0.1185963740208745
192,GAPT_G,61453,1.7,111,v3,0.11381211833695552
193,GAPT_G,61453,1.7,111,pt,20.950000000000003
194,GAPT_G,61453,1.7,111,e,4.0225
195,GAPT_G,61453,5.0,211,e_kl,0.36073975651243795
196,GAPT_G,61453,5.0,211,e_w1,0.09144189880310556
197,GAPT_G,61453,5.0,211,eta_kl,0.12253804032162371
198,GAPT_G,61453,5.0,211,eta_w1,0.5203278627945133
199,GAPT_G,61453,5.0,211,e_kl_0,10.719207906404513
200,GAPT_G,61453,5.0,211,e_w1_0,0.2013657560944557
201,GAPT_G,61453,5.0,211,eta_kl_0,6.538952613276093
202,GAPT_G,61453,5.0,211,eta_w1_0,1.3953003512974829
203,GAPT_G,61453,5.0,211,v1,0.00853326330257564
204,GAPT_G,61453,5.0,211,v2,0.22849352867986486
205,GAPT_G,61453,5.0,211,v3,0.0541390706501097
206,GAPT_G,61453,5.0,211,pt,14.397499999999999
207,GAPT_G,61453,5.0,211,e,3.655
208,GAPT_G,61453,5.0,-211,e_kl,0.31416053781299663
209,GAPT_G,61453,5.0,-211,e_w1,0.09075932109480805
210,GAPT_G,61453,5.0,-211,eta_kl,0.14789240497707193
211,GAPT_G,61453,5.0,-211,eta_w1,0.5929237822844949
212,GAPT_G,61453,5.0,-211,e_kl_0,5.0069603473807796
213,GAPT_G,61453,5.0,-211,e_w1_0,0.15788137584924697
214,GAPT_G,61453,5.0,-211,eta_kl_0,4.529780254472857
215,GAPT_G,61453,5.0,-211,eta_w1_0,1.3468846475076863
216,GAPT_G,61453,5.0,-211,v1,0.05951840939111755
217,GAPT_G,61453,5.0,-211,v2,0.13750357121332102
218,GAPT_G,61453,5.0,-211,v3,0.17976863512895733
219,GAPT_G,61453,5.0,-211,pt,14.397499999999999
220,GAPT_G,61453,5.0,-211,e,3.655
221,GAPT_G,61453,5.0,111,e_kl,0.3379089164147232
222,GAPT_G,61453,5.0,111,e_w1,0.08552056902816377
223,GAPT_G,61453,5.0,111,eta_kl,0.15750828359624117
224,GAPT_G,61453,5.0,111,eta_w1,0.595759996640883
225,GAPT_G,61453,5.0,111,e_kl_0,9.605822599313889
226,GAPT_G,61453,5.0,111,e_w1_0,0.18649491608142854
227,GAPT_G,61453,5.0,111,eta_kl_0,8.225114637610181
228,GAPT_G,61453,5.0,111,eta_w1_0,1.2709419208136388
229,GAPT_G,61453,5.0,111,v1,0.1517389564405696
230,GAPT_G,61453,5.0,111,v2,0.1671293015351537
231,GAPT_G,61453,5.0,111,v3,0.500173139474088
232,GAPT_G,61453,5.0,111,pt,14.397499999999999
233,GAPT_G,61453,5.0,111,e,3.655
234,MPGenerator,61453,1.7,211,e_kl,0.693350643904003
235,MPGenerator,61453,1.7,211,e_w1,0.24291943633485413
236,MPGenerator,61453,1.7,211,eta_kl,1.8060462738028713
237,MPGenerator,61453,1.7,211,eta_w1,0.23938058522988542
238,MPGenerator,61453,1.7,211,e_kl_0,4.703741261837805
239,MPGenerator,61453,1.7,211,e_w1_0,0.47218795001506797
240,MPGenerator,61453,1.7,211,eta_kl_0,6.767529475825172
241,MPGenerator,61453,1.7,211,eta_w1_0,0.8597368120891042
242,MPGenerator,61453,1.7,211,v1,0.11753340007448534
243,MPGenerator,61453,1.7,211,v2,0.035629395101444764
244,MPGenerator,61453,1.7,211,v3,0.057403437977909706
245,MPGenerator,61453,1.7,211,pt,61.1075
246,MPGenerator,61453,1.7,211,e,50.515
247,MPGenerator,61453,1.7,-211,e_kl,0.9632038582653225
248,MPGenerator,61453,1.7,-211,e_w1,0.3220410991495564
249,MPGenerator,61453,1.7,-211,eta_kl,1.8704173217269753
250,MPGenerator,61453,1.7,-211,eta_w1,0.2594347526387026
251,MPGenerator,61453,1.7,-211,e_kl_0,26.299235182949747
252,MPGenerator,61453,1.7,-211,e_w1_0,0.540155737400055
253,MPGenerator,61453,1.7,-211,eta_kl_0,25.535858330641272
254,MPGenerator,61453,1.7,-211,eta_w1_0,1.0724879669374787
255,MPGenerator,61453,1.7,-211,v1,0.15888513443673072
256,MPGenerator,61453,1.7,-211,v2,0.0891176963199141
257,MPGenerator,61453,1.7,-211,v3,0.06206617771509475
258,MPGenerator,61453,1.7,-211,pt,61.1075
259,MPGenerator,61453,1.7,-211,e,50.515
260,MPGenerator,61453,1.7,111,e_kl,2.3346100558119582
261,MPGenerator,61453,1.7,111,e_w1,0.4684253969575678
262,MPGenerator,61453,1.7,111,eta_kl,1.9947928029367266
263,MPGenerator,61453,1.7,111,eta_w1,0.40431903260858065
264,MPGenerator,61453,1.7,111,e_kl_0,26.559633822754495
265,MPGenerator,61453,1.7,111,e_w1_0,0.49448656976222993
266,MPGenerator,61453,1.7,111,eta_kl_0,25.741141522970533
267,MPGenerator,61453,1.7,111,eta_w1_0,1.0434937055555202
268,MPGenerator,61453,1.7,111,v1,0.07221106092561819
269,MPGenerator,61453,1.7,111,v2,0.07456943003252198
270,MPGenerator,61453,1.7,111,v3,0.02412718185098563
271,MPGenerator,61453,1.7,111,pt,61.1075
272,MPGenerator,61453,1.7,111,e,50.515
273,MPGenerator,61453,5.0,211,e_kl,0.7235769736167046
274,MPGenerator,61453,5.0,211,e_w1,0.2779030737168895
275,MPGenerator,61453,5.0,211,eta_kl,1.9634252148364442
276,MPGenerator,61453,5.0,211,eta_w1,0.23277326356441297
277,MPGenerator,61453,5.0,211,e_kl_0,10.114074691250144
278,MPGenerator,61453,5.0,211,e_w1_0,0.5702543899416924
279,MPGenerator,61453,5.0,211,eta_kl_0,9.395294139198988
280,MPGenerator,61453,5.0,211,eta_w1_0,1.0006228391174228
281,MPGenerator,61453,5.0,211,v1,0.17546697002795433
282,MPGenerator,61453,5.0,211,v2,0.03668031273872086
283,MPGenerator,61453,5.0,211,v3,0.14018794118140185
284,MPGenerator,61453,5.0,211,pt,74.16499999999999
285,MPGenerator,61453,5.0,211,e,63.025
286,MPGenerator,61453,5.0,-211,e_kl,1.1019970417297043
287,MPGenerator,61453,5.0,-211,e_w1,0.35773645116009595
288,MPGenerator,61453,5.0,-211,eta_kl,2.047988152942031
289,MPGenerator,61453,5.0,-211,eta_w1,0.28010468475808803
290,MPGenerator,61453,5.0,-211,e_kl_0,26.75896553216485
291,MPGenerator,61453,5.0,-211,e_w1_0,0.6352077552676202
292,MPGenerator,61453,5.0,-211,eta_kl_0,25.290713882487275
293,MPGenerator,61453,5.0,-211,eta_w1_0,1.1167682404327206
294,MPGenerator,61453,5.0,-211,v1,0.11735616180727647
295,MPGenerator,61453,5.0,-211,v2,0.13882437072837087
296,MPGenerator,61453,5.0,-211,v3,0.07960087622363532
297,MPGenerator,61453,5.0,-211,pt,74.16499999999999
298,MPGenerator,61453,5.0,-211,e,63.025
299,MPGenerator,61453,5.0,111,e_kl,3.016992301903668
300,MPGenerator,61453,5.0,111,e_w1,0.5117899178382098
301,MPGenerator,61453,5.0,111,eta_kl,2.1909570203010094
302,MPGenerator,61453,5.0,111,eta_w1,0.40246092543578493
303,MPGenerator,61453,5.0,111,e_kl_0,26.83408520880138
304,MPGenerator,61453,5.0,111,e_w1_0,0.6023417937755585
305,MPGenerator,61453,5.0,111,eta_kl_0,25.411039435259788
306,MPGenerator,61453,5.0,111,eta_w1_0,1.1348118466767483
307,MPGenerator,61453,5.0,111,v1,0.0555397416407269
308,MPGenerator,61453,5.0,111,v2,0.1140876206222405
309,MPGenerator,61453,5.0,111,v3,0.00819601124403867
310,MPGenerator,61453,5.0,111,pt,74.16499999999999
311,MPGenerator,61453,5.0,111,e,63.025
